algorithm,num_layers,hidden_size,train_size,seed,epoch,train_loss,test_acc,wall_time_s
BP,2,256,100,0,1,2.221028,0.2576,0.28
BP,2,256,100,0,2,1.715055,0.5368,0.54
BP,2,256,100,0,3,1.274642,0.6876,0.8
BP,2,256,100,0,4,0.952519,0.7187,1.07
BP,2,256,100,0,5,0.719063,0.7243,1.33
BP,2,256,100,0,6,0.52719,0.7319,1.6
BP,2,256,100,0,7,0.372976,0.7404,1.86
BP,2,256,100,0,8,0.281749,0.7503,2.12
BP,2,256,100,0,9,0.198392,0.7528,2.39
BP,2,256,100,0,10,0.14156,0.754,2.65
BP,2,256,100,0,11,0.109124,0.7516,2.92
BP,2,256,100,0,12,0.075037,0.7462,3.18
BP,2,256,100,0,13,0.058769,0.7415,3.45
BP,2,256,100,0,14,0.042659,0.7397,3.71
BP,2,256,100,0,15,0.035383,0.7383,3.98
BP,2,256,100,0,16,0.027566,0.7373,4.25
BP,2,256,100,0,17,0.021538,0.7378,4.51
BP,2,256,100,0,18,0.017078,0.7382,4.78
BP,2,256,100,0,19,0.015023,0.7381,5.04
BP,2,256,100,0,20,0.012752,0.7378,5.31
BP,2,256,100,0,21,0.011202,0.7381,5.58
BP,2,256,100,0,22,0.010009,0.7381,5.85
BP,2,256,100,0,23,0.008932,0.7387,6.12
BP,2,256,100,0,24,0.008011,0.7379,6.38
BP,2,256,100,0,25,0.007399,0.7373,6.66
BP,2,256,100,0,26,0.006547,0.7368,6.93
BP,2,256,100,0,27,0.006036,0.7362,7.2
BP,2,256,100,0,28,0.005766,0.736,7.47
BP,2,256,100,0,29,0.00539,0.7358,7.74
BP,2,256,100,0,30,0.00516,0.7353,8.01
BP,2,256,100,1,1,2.214931,0.4917,0.27
BP,2,256,100,1,2,1.604732,0.5763,0.54
BP,2,256,100,1,3,1.191082,0.6224,0.81
BP,2,256,100,1,4,0.87711,0.6242,1.08
BP,2,256,100,1,5,0.647677,0.6501,1.35
BP,2,256,100,1,6,0.501598,0.6836,1.62
BP,2,256,100,1,7,0.383872,0.7035,1.89
BP,2,256,100,1,8,0.296838,0.7156,2.16
BP,2,256,100,1,9,0.219046,0.7204,2.43
BP,2,256,100,1,10,0.158306,0.7289,2.7
BP,2,256,100,1,11,0.124674,0.7318,2.97
BP,2,256,100,1,12,0.092642,0.7366,3.24
BP,2,256,100,1,13,0.066952,0.7398,3.52
BP,2,256,100,1,14,0.049799,0.743,3.79
BP,2,256,100,1,15,0.039169,0.7468,4.06
BP,2,256,100,1,16,0.030911,0.749,4.34
BP,2,256,100,1,17,0.025026,0.749,4.62
BP,2,256,100,1,18,0.020839,0.7492,4.9
BP,2,256,100,1,19,0.016981,0.7498,5.17
BP,2,256,100,1,20,0.014335,0.7506,5.45
BP,2,256,100,1,21,0.012163,0.7503,5.73
BP,2,256,100,1,22,0.010763,0.7488,6.0
BP,2,256,100,1,23,0.009218,0.7483,6.28
BP,2,256,100,1,24,0.008515,0.7483,6.57
BP,2,256,100,1,25,0.007906,0.7475,6.87
BP,2,256,100,1,26,0.007226,0.7472,7.15
BP,2,256,100,1,27,0.006458,0.7468,7.42
BP,2,256,100,1,28,0.006083,0.7462,7.7
BP,2,256,100,1,29,0.005707,0.7463,8.03
BP,2,256,100,1,30,0.005321,0.7458,8.33
BP,2,256,100,2,1,2.237994,0.3211,0.28
BP,2,256,100,2,2,1.613738,0.551,0.58
BP,2,256,100,2,3,1.216874,0.6311,0.88
BP,2,256,100,2,4,0.934261,0.6649,1.17
BP,2,256,100,2,5,0.695289,0.6893,1.46
BP,2,256,100,2,6,0.517829,0.7155,1.75
BP,2,256,100,2,7,0.387443,0.7331,2.02
BP,2,256,100,2,8,0.292732,0.7426,2.3
BP,2,256,100,2,9,0.22372,0.7481,2.58
BP,2,256,100,2,10,0.14951,0.7504,2.85
BP,2,256,100,2,11,0.115291,0.7508,3.13
BP,2,256,100,2,12,0.081003,0.7527,3.41
BP,2,256,100,2,13,0.059639,0.7511,3.7
BP,2,256,100,2,14,0.045374,0.7492,4.05
BP,2,256,100,2,15,0.033121,0.7472,4.33
BP,2,256,100,2,16,0.025946,0.7449,4.6
BP,2,256,100,2,17,0.021551,0.7437,4.88
BP,2,256,100,2,18,0.017484,0.7446,5.15
BP,2,256,100,2,19,0.014956,0.745,5.43
BP,2,256,100,2,20,0.012084,0.7451,5.7
