algorithm,num_layers,hidden_size,train_size,seed,inference_steps,epoch,train_loss_or_energy,test_acc,wall_time_s,eval_time_s,optimiser_steps,inference_steps_total
BP,2,256,1000,0,0,1,1.328238,0.814,0.052,0.0307,16,0
BP,2,256,1000,0,0,2,0.51337,0.858,0.0387,0.0301,16,0
BP,2,256,1000,0,0,3,0.332278,0.874,0.0383,0.0301,16,0
BP,2,256,1000,0,0,4,0.228139,0.895,0.0383,0.0301,16,0
BP,2,256,1000,0,0,5,0.149031,0.888,0.0386,0.0301,16,0
BP,2,256,1000,0,0,6,0.102583,0.889,0.0382,0.0301,16,0
BP,2,256,1000,0,0,7,0.080378,0.893,0.0381,0.0303,16,0
BP,2,256,1000,0,0,8,0.054831,0.897,0.038,0.0301,16,0
BP,2,256,1000,0,0,9,0.037602,0.887,0.0384,0.03,16,0
BP,2,256,1000,0,0,10,0.023135,0.891,0.0383,0.0302,16,0
BP,2,256,1000,0,0,11,0.015531,0.889,0.0382,0.0297,16,0
BP,2,256,1000,0,0,12,0.01225,0.893,0.0382,0.03,16,0
BP,2,256,1000,0,0,13,0.010119,0.894,0.0379,0.0299,16,0
BP,2,256,1000,0,0,14,0.008236,0.896,0.0382,0.0301,16,0
BP,2,256,1000,0,0,15,0.007048,0.897,0.038,0.0301,16,0
BP,2,256,1000,0,0,16,0.006123,0.896,0.0383,0.0297,16,0
BP,2,256,1000,0,0,17,0.005605,0.896,0.0381,0.0298,16,0
BP,2,256,1000,0,0,18,0.004825,0.898,0.0385,0.0299,16,0
BP,2,256,1000,0,0,19,0.004368,0.898,0.0382,0.03,16,0
BP,2,256,1000,0,0,20,0.004013,0.897,0.0383,0.0301,16,0
BP,2,256,1000,0,0,21,0.003673,0.897,0.0382,0.03,16,0
BP,2,256,1000,0,0,22,0.003251,0.899,0.0382,0.0303,16,0
BP,2,256,1000,0,0,23,0.003019,0.898,0.0382,0.0301,16,0
BP,2,256,1000,0,0,24,0.002788,0.899,0.0383,0.0302,16,0
BP,2,256,1000,0,0,25,0.002592,0.896,0.0405,0.0315,16,0
BP,2,256,1000,0,0,26,0.002344,0.899,0.0384,0.0301,16,0
BP,2,256,1000,0,0,27,0.002225,0.898,0.0383,0.0299,16,0
BP,2,256,1000,0,0,28,0.002051,0.898,0.038,0.0301,16,0
BP,2,256,1000,0,0,29,0.001964,0.899,0.0384,0.0299,16,0
BP,2,256,1000,0,0,30,0.001813,0.898,0.038,0.0301,16,0
PC,2,256,1000,0,10,1,245.89811,0.523,1.4265,0.9617,1000,10000
PC,2,256,1000,0,10,2,205.963353,0.613,1.4205,0.9588,1000,10000
PC,2,256,1000,0,10,3,191.59869,0.65,1.4187,0.957,1000,10000
PC,2,256,1000,0,10,4,182.278673,0.674,1.4197,0.958,1000,10000
PC,2,256,1000,0,10,5,175.787786,0.713,1.419,0.9592,1000,10000
PC,2,256,1000,0,10,6,170.909907,0.752,1.4193,0.9591,1000,10000
PC,2,256,1000,0,10,7,167.277547,0.77,1.4202,0.957,1000,10000
PC,2,256,1000,0,10,8,164.331994,0.774,1.4208,0.9597,1000,10000
PC,2,256,1000,0,10,9,161.914487,0.78,1.4233,0.9559,1000,10000
PC,2,256,1000,0,10,10,159.721405,0.782,1.4185,0.9605,1000,10000
PC,2,256,1000,0,10,11,157.979849,0.775,1.4186,0.9569,1000,10000
PC,2,256,1000,0,10,12,156.386232,0.774,1.4217,0.9863,1000,10000
PC,2,256,1000,0,10,13,155.034568,0.766,1.4249,0.9577,1000,10000
PC,2,256,1000,0,10,14,153.93498,0.766,1.4206,0.9583,1000,10000
PC,2,256,1000,0,10,15,153.038181,0.761,1.4206,0.9563,1000,10000
PC,2,256,1000,0,10,16,152.097792,0.756,1.423,0.9785,1000,10000
PC,2,256,1000,0,10,17,151.324516,0.757,1.4277,0.9753,1000,10000
PC,2,256,1000,0,10,18,150.640198,0.746,1.4233,0.9572,1000,10000
PC,2,256,1000,0,10,19,150.08215,0.742,1.424,0.9588,1000,10000
PC,2,256,1000,0,10,20,149.455489,0.731,1.4208,0.9576,1000,10000
PC,2,256,1000,0,10,21,148.92651,0.727,1.4277,0.9771,1000,10000
PC,2,256,1000,0,10,22,148.485068,0.721,1.4228,0.9769,1000,10000
PC,2,256,1000,0,10,23,147.993908,0.727,1.4223,0.9762,1000,10000
PC,2,256,1000,0,10,24,147.60532,0.728,1.4228,0.9604,1000,10000
PC,2,256,1000,0,10,25,147.255965,0.727,1.42,0.9587,1000,10000
PC,2,256,1000,0,10,26,146.812343,0.722,1.4198,0.958,1000,10000
PC,2,256,1000,0,10,27,146.582553,0.729,1.4185,0.9554,1000,10000
PC,2,256,1000,0,10,28,146.193781,0.722,1.4191,0.9588,1000,10000
PC,2,256,1000,0,10,29,145.904286,0.716,1.4185,0.9691,1000,10000
PC,2,256,1000,0,10,30,145.740221,0.717,1.4199,0.9582,1000,10000
PC,2,256,1000,0,20,1,241.612464,0.658,2.253,1.8554,1000,20000
PC,2,256,1000,0,20,2,198.646002,0.726,2.3491,1.8667,1000,20000
PC,2,256,1000,0,20,3,182.947,0.771,2.254,1.8897,1000,20000
PC,2,256,1000,0,20,4,173.933062,0.792,2.2531,1.8825,1000,20000
PC,2,256,1000,0,20,5,167.901375,0.793,2.2603,1.8844,1000,20000
PC,2,256,1000,0,20,6,163.329723,0.796,2.2568,1.8625,1000,20000
PC,2,256,1000,0,20,7,159.731661,0.799,2.257,1.8604,1000,20000
PC,2,256,1000,0,20,8,157.419572,0.796,2.2551,1.8558,1000,20000
PC,2,256,1000,0,20,9,157.688117,0.791,2.3008,1.8785,1000,20000
PC,2,256,1000,0,20,10,162.303235,0.771,2.2672,1.8668,1000,20000
PC,2,256,1000,0,20,11,161.67475,0.759,2.2851,1.8657,1000,20000
PC,2,256,1000,0,20,12,157.9838,0.75,2.264,1.8647,1000,20000
PC,2,256,1000,0,20,13,156.403563,0.738,2.2539,1.858,1000,20000
PC,2,256,1000,0,20,14,154.37158,0.743,2.2512,1.888,1000,20000
PC,2,256,1000,0,20,15,153.240174,0.746,2.2526,1.8617,1000,20000
PC,2,256,1000,0,20,16,150.170809,0.741,2.2743,1.9354,1000,20000
PC,2,256,1000,0,20,17,148.404945,0.755,2.2998,1.8729,1000,20000
PC,2,256,1000,0,20,18,146.14313,0.758,2.2639,1.8809,1000,20000
PC,2,256,1000,0,20,19,145.315303,0.766,2.2652,1.8632,1000,20000
PC,2,256,1000,0,20,20,144.557743,0.768,2.3068,1.875,1000,20000
PC,2,256,1000,0,20,21,144.133801,0.777,4.0754,2.4279,1000,20000
PC,2,256,1000,0,20,22,143.721645,0.772,2.4516,2.0229,1000,20000
PC,2,256,1000,0,20,23,143.507788,0.773,2.5298,1.977,1000,20000
PC,2,256,1000,0,20,24,143.225625,0.773,2.5034,2.4178,1000,20000
PC,2,256,1000,0,20,25,143.033623,0.768,2.494,1.9602,1000,20000
PC,2,256,1000,0,20,26,142.919249,0.766,2.4832,2.0092,1000,20000
PC,2,256,1000,0,20,27,142.839265,0.77,2.5118,1.974,1000,20000
PC,2,256,1000,0,20,28,142.522056,0.768,2.8,2.1514,1000,20000
PC,2,256,1000,0,20,29,142.660287,0.768,2.4666,1.9615,1000,20000
PC,2,256,1000,0,20,30,142.474693,0.766,2.5008,1.9834,1000,20000
PC,2,256,1000,0,50,1,241.383401,0.679,5.1751,4.8015,1000,50000
PC,2,256,1000,0,50,2,197.679093,0.76,5.1749,4.8143,1000,50000
