algorithm,num_layers,hidden_size,train_size,seed,inference_steps,epoch,train_energy,test_acc,wall_time_s
PC,2,256,100,0,10,1,256.193544,,0.15
PC,2,256,100,0,10,2,214.167955,,0.29
PC,2,256,100,0,10,3,197.201408,,0.43
PC,2,256,100,0,10,4,186.802971,,0.57
PC,2,256,100,0,10,5,179.725,0.556,1.63
PC,2,256,100,0,10,6,174.351176,0.556,1.77
PC,2,256,100,0,10,7,170.140356,0.556,1.9
PC,2,256,100,0,10,8,166.671066,0.556,2.04
PC,2,256,100,0,10,9,163.625183,0.556,2.18
PC,2,256,100,0,10,10,161.059429,0.609,3.24
PC,2,256,100,0,10,11,159.015236,0.609,3.38
PC,2,256,100,0,10,12,156.927146,0.609,3.51
PC,2,256,100,0,10,13,155.2167,0.609,3.65
PC,2,256,100,0,10,14,153.7695,0.609,3.79
PC,2,256,100,0,10,15,152.311802,0.65,4.85
PC,2,256,100,0,10,16,151.147381,0.65,4.98
PC,2,256,100,0,10,17,150.029552,0.65,5.12
PC,2,256,100,0,10,18,149.026336,0.65,5.26
PC,2,256,100,0,10,19,148.100022,0.65,5.39
PC,2,256,100,0,10,20,147.244851,0.688,6.48
PC,2,256,100,0,10,21,146.431048,0.688,6.62
PC,2,256,100,0,10,22,145.628235,0.688,6.76
PC,2,256,100,0,10,23,144.951483,0.688,6.9
PC,2,256,100,0,10,24,144.308759,0.688,7.03
PC,2,256,100,0,10,25,143.693368,0.699,8.11
PC,2,256,100,0,10,26,143.111917,0.699,8.25
PC,2,256,100,0,10,27,142.586783,0.699,8.38
PC,2,256,100,0,10,28,142.067657,0.699,8.52
PC,2,256,100,0,10,29,141.571134,0.699,8.66
PC,2,256,100,0,10,30,141.134164,0.702,9.72
PC,2,256,100,0,20,1,248.767965,,0.22
PC,2,256,100,0,20,2,202.524901,,0.44
PC,2,256,100,0,20,3,185.209659,,0.65
PC,2,256,100,0,20,4,175.288796,,0.87
PC,2,256,100,0,20,5,168.451911,0.653,2.88
PC,2,256,100,0,20,6,163.467513,0.653,3.09
PC,2,256,100,0,20,7,159.470349,0.653,3.31
PC,2,256,100,0,20,8,156.276383,0.653,3.53
PC,2,256,100,0,20,9,153.59428,0.653,3.75
PC,2,256,100,0,20,10,151.270612,0.674,5.75
PC,2,256,100,0,20,11,149.435037,0.674,5.97
PC,2,256,100,0,20,12,147.624086,0.674,6.18
PC,2,256,100,0,20,13,146.112118,0.674,6.4
PC,2,256,100,0,20,14,144.85971,0.674,6.62
PC,2,256,100,0,20,15,143.587863,0.673,8.62
PC,2,256,100,0,20,16,142.559068,0.673,8.84
PC,2,256,100,0,20,17,141.589758,0.673,9.06
PC,2,256,100,0,20,18,140.70912,0.673,9.27
PC,2,256,100,0,20,19,139.911863,0.673,9.49
PC,2,256,100,0,20,20,139.188336,0.682,11.5
PC,2,256,100,0,20,21,138.486834,0.682,11.72
PC,2,256,100,0,20,22,137.826472,0.682,11.93
PC,2,256,100,0,20,23,137.24079,0.682,12.15
PC,2,256,100,0,20,24,136.697636,0.682,12.37
PC,2,256,100,0,20,25,136.185073,0.698,14.4
PC,2,256,100,0,20,26,135.680048,0.698,14.61
PC,2,256,100,0,20,27,135.251191,0.698,14.83
PC,2,256,100,0,20,28,134.801633,0.698,15.05
PC,2,256,100,0,20,29,134.419199,0.698,15.27
PC,2,256,100,0,20,30,134.052038,0.707,17.27
PC,2,256,100,0,50,1,247.543994,,0.46
PC,2,256,100,0,50,2,199.425268,,0.92
PC,2,256,100,0,50,3,181.680385,,1.38
PC,2,256,100,0,50,4,171.562578,,1.84
PC,2,256,100,0,50,5,164.544004,0.691,6.69
PC,2,256,100,0,50,6,159.444708,0.691,7.15
PC,2,256,100,0,50,7,155.312127,0.691,7.61
PC,2,256,100,0,50,8,152.041132,0.691,8.07
PC,2,256,100,0,50,9,149.301103,0.691,8.53
PC,2,256,100,0,50,10,146.979449,0.701,13.45
PC,2,256,100,0,50,11,145.08511,0.701,13.91
PC,2,256,100,0,50,12,143.31207,0.701,14.37
PC,2,256,100,0,50,13,141.80398,0.701,14.83
PC,2,256,100,0,50,14,140.507223,0.701,15.29
PC,2,256,100,0,50,15,139.265719,0.69,20.14
PC,2,256,100,0,50,16,138.231706,0.69,20.6
PC,2,256,100,0,50,17,137.237034,0.69,21.06
PC,2,256,100,0,50,18,136.356021,0.69,21.52
PC,2,256,100,0,50,19,135.557792,0.69,21.98
PC,2,256,100,0,50,20,134.833861,0.683,26.85
PC,2,256,100,0,50,21,134.124733,0.683,27.31
PC,2,256,100,0,50,22,133.500665,0.683,27.77
PC,2,256,100,0,50,23,132.914804,0.683,28.23
PC,2,256,100,0,50,24,132.38223,0.683,28.69
PC,2,256,100,0,50,25,131.881696,0.675,33.53
PC,2,256,100,0,50,26,131.414201,0.675,33.99
PC,2,256,100,0,50,27,130.984831,0.675,34.46
PC,2,256,100,0,50,28,130.579605,0.675,34.92
PC,2,256,100,0,50,29,130.201583,0.675,35.38
PC,2,256,100,0,50,30,129.846147,0.666,40.24
PC,2,256,100,1,10,1,266.21874,,0.14
PC,2,256,100,1,10,2,220.007767,,0.27
PC,2,256,100,1,10,3,202.793848,,0.41
PC,2,256,100,1,10,4,192.034879,,0.55
PC,2,256,100,1,10,5,184.969591,0.58,1.62
PC,2,256,100,1,10,6,179.344406,0.58,1.75
PC,2,256,100,1,10,7,175.022061,0.58,1.89
PC,2,256,100,1,10,8,171.403104,0.58,2.03
PC,2,256,100,1,10,9,168.469558,0.58,2.16
PC,2,256,100,1,10,10,165.779899,0.621,3.23
PC,2,256,100,1,10,11,163.580478,0.621,3.37
PC,2,256,100,1,10,12,161.595896,0.621,3.51
PC,2,256,100,1,10,13,159.904705,0.621,3.64
PC,2,256,100,1,10,14,158.314569,0.621,3.78
PC,2,256,100,1,10,15,156.940103,0.631,4.84
PC,2,256,100,1,10,16,155.649273,0.631,4.98
PC,2,256,100,1,10,17,154.487303,0.631,5.11
PC,2,256,100,1,10,18,153.382491,0.631,5.25
PC,2,256,100,1,10,19,152.450741,0.631,5.39
PC,2,256,100,1,10,20,151.537113,0.626,6.44
PC,2,256,100,1,10,21,150.667409,0.626,6.58
PC,2,256,100,1,10,22,149.822146,0.626,6.72
PC,2,256,100,1,10,23,149.08726,0.626,6.86
PC,2,256,100,1,10,24,148.390331,0.626,6.99
PC,2,256,100,1,10,25,147.749479,0.629,8.06
PC,2,256,100,1,10,26,147.117659,0.629,8.19
PC,2,256,100,1,10,27,146.539121,0.629,8.33
PC,2,256,100,1,10,28,145.999801,0.629,8.47
PC,2,256,100,1,10,29,145.488596,0.629,8.6
PC,2,256,100,1,10,30,144.983196,0.621,9.68
PC,2,256,100,1,20,1,257.992096,,0.22
PC,2,256,100,1,20,2,208.484565,,0.44
PC,2,256,100,1,20,3,191.269098,,0.66
PC,2,256,100,1,20,4,180.762564,,0.88
PC,2,256,100,1,20,5,173.790134,0.639,2.92
PC,2,256,100,1,20,6,168.462858,0.639,3.14
PC,2,256,100,1,20,7,164.365496,0.639,3.36
PC,2,256,100,1,20,8,161.029855,0.639,3.58
PC,2,256,100,1,20,9,158.280039,0.639,3.8
PC,2,256,100,1,20,10,155.854735,0.645,5.88
PC,2,256,100,1,20,11,153.812465,0.645,6.1
PC,2,256,100,1,20,12,152.00027,0.645,6.32
PC,2,256,100,1,20,13,150.500647,0.645,6.54
PC,2,256,100,1,20,14,149.050652,0.645,6.76
PC,2,256,100,1,20,15,147.81893,0.651,8.83
